title,year,realized_circ,n_quotes
Inception,2010,6.828634386265136,4
Incredibles 2,2018,9.903733088286755,4
Inglourious Basterds,2009,6.7374604754841725,4
Inside Out 2,2024,9.195013282840636,4
Interstellar,2014,9.459653877241736,4
Iron Man,2008,8.882109169362545,4
Iron Man 2,2010,8.882109169362545,4
Iron Man 3,2013,8.376666716890112,4
Jennifer's Body,2009,9.22716011407031,4
John Carter,2012,3.848325435045121,4
Juno,2007,7.477190319754662,4
Jupiter Ascending,2015,6.486024535064082,4
Jurassic Park,1993,8.314844492758652,4
Jurassic Park III,2001,4.69418028089506,3
Jurassic World,2015,4.9636579889577,3
Jurassic World Dominion,2022,5.424344730590054,4
Justice League,2017,6.545615480638247,4
King Arthur: Legend of the Sword,2017,6.763704027227714,4
Kung Fu Panda,2008,4.596868324232277,4
Kung Fu Panda 2,2011,14.206318280777587,4
Kung Fu Panda 3,2016,12.925487020633573,4
Labyrinth,1986,7.313704259918464,4
Lady Bird,2017,6.454059337640145,4
Lightyear,2022,7.105839717087227,4
Little Miss Sunshine,2006,10.48763785268669,4
"Lock, Stock and Two Smoking Barrels",1998,3.214214044679302,4
Logan,2017,7.713195100356945,4
Looper,2012,7.402453675527671,4
Lost in Translation,2003,5.792164106772668,4
MacGruber,2010,6.895419903687845,4
Madagascar,2005,6.341668907228183,4
Madagascar 2,2008,6.341668907228183,4
Man of Steel,2013,11.056638176721222,4
Mandy,2018,7.002808880724499,4
Mars Needs Moms,2011,4.059097480034483,4
Megamind,2010,9.297826573936531,4
Memento,2000,6.600086770406456,4
Minions,2015,8.081465260170184,4
Moana,2016,4.171657940702473,2
Monster Trucks,2016,5.402328420986574,4
Monsters University,2013,5.401276648719787,4
"Monsters, Inc.",2001,9.962959621183986,4
Moonlight,2016,8.88903232502292,4
Mortal Engines,2018,6.359345842098506,4
Mulan,1998,9.241054832311187,4
Napoleon Dynamite,2004,8.580882972781536,4
Nightcrawler,2014,7.580063709151678,4
No Country for Old Men,2007,10.701585935472304,4
Office Space,1999,8.845090308771203,4
Oldboy,2003,7.5381260589723835,4
Once Upon a Time in Hollywood,2019,6.978167857355886,4
Oppenheimer,2023,5.991912163099962,4
Pan,2015,7.771410008738228,4
Pan's Labyrinth,2006,4.899306579320917,4
Paranormal Activity,2007,8.465303263607876,4
Pi,1998,6.006846652153229,4
Pirates of the Caribbean: Dead Man's Chest,2006,6.06784460066113,4
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.375326540885585,4
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.686519980614127,4
Primer,2004,6.629778348628707,4
Pulp Fiction,1994,8.39346856743339,4
Rampage,2018,6.482375560322598,4
Rango,2011,6.788869966180453,4
Ratatouille,2007,5.556762785285954,4
Repo Man,1984,6.4947793789057755,4
Requiem for a Dream,2000,7.813443933284301,4
Rio 2,2014,9.724078565096445,4
Rise of the Guardians,2012,5.853246649053787,4
Robin Hood,2018,6.284632074653565,4
Sahara,2005,8.249533011307088,4
