title,year,star_power,director,runtime,original_language,release_month,release_season,is_adaptation,n_cast
The Flash,2023,3.785133333333333,Andy Muschietti,144.0,en,6.0,Summer,1,60
Eternals,2021,4.433066666666666,Chloé Zhao,156.0,en,11.0,Fall,1,89
Shang-Chi and the Legend of the Ten Rings,2021,2.9768666666666665,Destin Daniel Cretton,132.0,en,9.0,Fall,1,48
Black Panther: Wakanda Forever,2022,2.5599666666666665,Ryan Coogler,162.0,en,11.0,Fall,1,79
The Mummy,1999,3.254266666666666,Stephen Sommers,124.0,en,4.0,Spring,0,25
The Mummy Returns,2001,3.254266666666666,Stephen Sommers,130.0,en,5.0,Spring,0,24
The Mummy: Tomb of the Dragon Emperor,2008,3.0950666666666664,Rob Cohen,112.0,en,7.0,Summer,0,50
Jurassic Park,1993,3.9443333333333332,Steven Spielberg,127.0,en,6.0,Summer,0,22
Jurassic Park III,2001,4.700966666666667,Joe Johnston,92.0,en,7.0,Summer,0,25
The Lost World: Jurassic Park,1997,4.0141,Steven Spielberg,129.0,en,5.0,Spring,0,76
Jurassic World: Fallen Kingdom,2018,3.771433333333333,J. A. Bayona,129.0,en,6.0,Summer,0,41
Jurassic World Dominion,2022,4.275366666666667,Colin Trevorrow,147.0,en,6.0,Summer,0,48
Godzilla,2014,5.0126,Gareth Edwards,123.0,en,5.0,Spring,0,95
Godzilla: King of the Monsters,2019,5.163766666666667,Michael Dougherty,132.0,en,5.0,Spring,0,90
Godzilla vs. Kong,2021,2.0755,Adam Wingard,114.0,en,3.0,Spring,0,48
Godzilla x Kong: The New Empire,2024,2.670166666666667,Adam Wingard,115.0,en,3.0,Spring,0,24
King Kong,2005,4.411066666666667,Peter Jackson,188.0,en,12.0,Winter,0,51
Rampage,2018,4.871633333333333,Brad Peyton,107.0,en,4.0,Spring,1,68
Dune,2021,5.7664,Denis Villeneuve,155.0,en,9.0,Fall,1,39
Dune: Part Two,2024,7.118166666666667,Denis Villeneuve,167.0,en,2.0,Winter,1,98
Inception,2010,4.762566666666666,Christopher Nolan,148.0,en,7.0,Summer,0,52
Interstellar,2014,5.739133333333334,Christopher Nolan,169.0,en,11.0,Fall,0,35
Seabiscuit,2003,3.366633333333333,Gary Ross,141.0,en,7.0,Summer,1,41
Apollo 13,1995,6.7713,Ron Howard,140.0,en,6.0,Summer,1,89
The Revenant,2015,4.861466666666666,Alejandro G. Iñárritu,157.0,en,12.0,Winter,1,69
Oppenheimer,2023,7.3798666666666675,Christopher Nolan,181.0,en,7.0,Summer,1,80
Killers of the Flower Moon,2023,4.649966666666667,Martin Scorsese,206.0,en,10.0,Fall,1,210
The Wolf of Wall Street,2013,6.4784,Martin Scorsese,180.0,en,12.0,Winter,1,180
Once Upon a Time in Hollywood,2019,8.643133333333333,Quentin Tarantino,162.0,en,7.0,Summer,1,103
Pulp Fiction,1994,5.541766666666667,Quentin Tarantino,154.0,en,9.0,Fall,0,52
Inglourious Basterds,2009,6.031366666666667,Quentin Tarantino,153.0,en,8.0,Summer,0,73
The Hateful Eight,2015,5.3219666666666665,Quentin Tarantino,188.0,en,12.0,Winter,0,18
The Big Lebowski,1998,4.041966666666666,Joel Coen,117.0,en,3.0,Spring,0,43
Donnie Darko,2001,4.043433333333334,Richard Kelly,114.0,en,1.0,Winter,0,41
Fight Club,1999,6.727333333333333,David Fincher,139.0,en,10.0,Fall,1,76
Office Space,1999,2.5780333333333334,Mike Judge,90.0,en,2.0,Winter,0,37
Blade Runner,1982,2.7808333333333333,Ridley Scott,118.0,en,6.0,Summer,1,32
The Thing,1982,2.6169333333333333,John Carpenter,109.0,en,6.0,Summer,1,19
The Shawshank Redemption,1994,3.9470333333333336,Frank Darabont,142.0,en,9.0,Fall,1,59
Scott Pilgrim vs. the World,2010,2.9883666666666664,Edgar Wright,113.0,en,8.0,Summer,1,44
Clerks,1994,0.5240999999999999,Kevin Smith,92.0,en,10.0,Fall,0,48
Pi,1998,0.9559666666666665,Darren Aronofsky,84.0,en,7.0,Summer,0,29
Memento,2000,2.7217,Christopher Nolan,113.0,en,10.0,Fall,1,13
Primer,2004,0.34523333333333334,Shane Carruth,77.0,en,10.0,Fall,0,20
Moon,2009,3.4325666666666663,Duncan Jones,97.0,en,6.0,Summer,0,10
The Man from Earth,2007,1.4333666666666665,Richard Schenkman,87.0,en,6.0,Summer,0,11
Coherence,2013,1.2586,James Ward Byrkit,89.0,en,4.0,Spring,0,12
Napoleon Dynamite,2004,1.8386666666666667,Jared Hess,95.0,en,6.0,Summer,0,37
Mean Girls,2004,3.2154000000000003,Mark Waters,97.0,en,4.0,Spring,1,68
American Psycho,2000,3.0808,Mary Harron,102.0,en,4.0,Spring,1,47
Heathers,1988,3.257633333333333,Michael Lehmann,103.0,en,3.0,Spring,0,40
Wet Hot American Summer,2001,1.4896666666666667,David Wain,97.0,en,7.0,Summer,0,55
Idiocracy,2006,1.7134,Mike Judge,85.0,en,9.0,Fall,0,77
The Boondock Saints,1999,3.3586000000000005,Troy Duffy,108.0,en,1.0,Winter,0,52
The Room,2003,0.9831333333333333,François Truffaut,95.0,fr,4.0,Spring,0,31
The Princess Bride,1987,2.4516,Rob Reiner,99.0,en,9.0,Fall,1,21
Labyrinth,1986,3.4744000000000006,Jim Henson,101.0,en,6.0,Summer,0,88
The Dark Crystal,1982,1.2348,Frank Oz,93.0,en,12.0,Winter,0,27
Tron,1982,2.5813,Steven Lisberger,96.0,en,7.0,Summer,1,27
Fear and Loathing in Las Vegas,1998,4.963566666666667,Terry Gilliam,118.0,en,5.0,Spring,1,70
Bring It On,2000,3.6786,Peyton Reed,99.0,en,8.0,Summer,0,56
Jennifer's Body,2009,4.2825,Karyn Kusama,107.0,en,9.0,Fall,0,46
