title,year,n_quotes_measured,circ_sum,circ_top3,circ_max
District 9,2009,4.0,7.564238475170491,5.913144110480684,7.170888478512505
Doctor Strange in the Multiverse of Madness,2022,4.0,8.121183242078828,5.739770582258818,8.052296499538647
Donnie Brasco,1997,4.0,8.10258642539079,6.368097046195882,7.824445930877619
Donnie Darko,2001,4.0,9.558035114334135,8.341033350282173,8.897135342293316
Dredd,2012,4.0,10.574491368410383,8.359342554859413,10.32551474894327
Drive,2011,4.0,10.352682423505618,8.911886894084637,9.517898598432753
Dune,2021,4.0,6.115892125483034,3.556194410802886,5.986452005284438
Dune: Part Two,2024,4.0,7.266827347520591,5.868037307713973,6.55250788703459
Edge of Tomorrow,2014,4.0,13.012521725324094,10.044867481503468,12.850557278777309
Eighth Grade,2018,3.0,4.532599493153256,3.0015151529988615,4.304065093204169
Elemental,2023,4.0,8.982937763741589,7.540019288070024,8.621733370690162
Empire Records,1995,4.0,14.510127158397848,11.930079133724254,14.452087916136215
Eternal Sunshine of the Spotless Mind,2004,4.0,9.84903136674007,8.590088701926897,9.060795734696166
Eternals,2021,4.0,7.776954403322442,6.4910904774795,6.601230118728877
Ex Machina,2014,4.0,10.318935994253193,8.82096242367299,9.525224101853109
Fear and Loathing in Las Vegas,1998,4.0,12.896571321897195,8.517172315125189,12.889172015485954
Fight Club,1999,4.0,10.249768667290844,8.365804959361192,10.05195066017375
Final Fantasy: The Spirits Within,2001,4.0,15.492609735691195,6.329704955751513,15.49260730578806
Finding Dory,2016,4.0,14.424313710086322,9.913744457270958,14.419827071265543
Finding Nemo,2003,4.0,10.567746456002288,9.246965804622423,9.6678285081515
Frances Ha,2012,4.0,10.937205701286247,9.077615782551653,10.781058245898533
Frozen II,2019,4.0,7.8156105320351905,6.218459841240324,7.484930283289661
Furious 7,2015,4.0,15.57138374862792,12.225535810142354,15.541842399805802
Gattaca,1997,4.0,9.758346166866458,8.250592635123098,9.149634496858788
Get Out,2017,4.0,12.656743724476224,9.37843345716392,12.621491384816093
Gigli,2003,2.0,8.173011311724972,7.0954829210679495,8.029758520440822
Godzilla,2014,4.0,15.792010738803567,10.851236249063476,15.784020678601623
Godzilla vs. Kong,2021,4.0,10.26053242804174,8.882945123838075,9.60245002503719
Godzilla x Kong: The New Empire,2024,4.0,8.655562860681009,7.316141049640051,8.216358332386156
Godzilla: King of the Monsters,2019,4.0,8.801469470733185,6.167808067105336,8.210939733379021
Good Time,2017,4.0,8.068089626278244,6.684169636453444,7.5126175446745105
Green Lantern,2011,4.0,8.101980731853192,5.017090701184354,7.8826922062890254
Grindhouse,2007,4.0,8.313852267398207,6.295160051571433,7.9658927350845286
Guardians of the Galaxy,2014,4.0,8.38320455141292,5.326244986023939,7.951911381854188
Guardians of the Galaxy Vol. 2,2017,4.0,9.766922993079902,7.911723941248546,9.561067663645012
Guardians of the Galaxy Vol. 3,2023,4.0,8.753371421000903,6.098315393256114,8.188966863648876
Hackers,1995,4.0,9.345482965918476,7.399011322753573,9.04793908261736
