title,year,status,imdb_id,subtitle_available,estimated_word_count,dialogue_line_count,avg_dialogue_length,longest_monologue_words,unique_character_count,sentiment_mean,sentiment_std,sentiment_peak,exclamation_ratio,question_ratio,profanity_score,vocabulary_richness,avg_sentence_complexity,humor_indicator,romance_indicator,violence_indicator,short_punchy_count,short_punchy_density,rare_proper_noun_count,sentiment_spike
This Is Spinal Tap,1984,success,tt0088258,True,12020.0,1721.0,6.984311446833236,16.0,0.0,0.0021310054139804285,0.09804115605720365,1.0,0.04997094712376525,0.18768158047646716,7.315288953913679,0.26876371616678857,6.253902185223725,1.6093635698610094,5.70592538405267,1.1704462326261889,483.0,0.28065078442765834,343.0,1.0909090909090908
Brazil,1985,success,tt0088846,True,7582.0,1281.0,5.918813427010148,18.0,2.0,0.010681809949959833,0.162234905185324,1.0,0.1131928181108509,0.21155347384855583,5.985369097761028,0.32343161161604966,4.4943687018375815,0.6650410108623366,3.990246065174019,5.985369097761028,488.0,0.38095238095238093,231.0,2.0
Repo Man,1984,success,tt0087995,True,7374.0,1144.0,6.445804195804196,18.0,0.0,-0.007229740927293375,0.09410763097200199,1.0,0.125,0.24825174825174826,31.09836788707543,0.30569033965593295,4.9757085020242915,2.2055580061755626,4.190560211733568,6.6166740185266875,399.0,0.3487762237762238,257.0,1.0
Withnail and I,1987,success,tt0094336,True,10190.0,1306.0,7.802450229709035,19.0,0.0,-0.010964194574905321,0.08627268422996241,1.0,0.10183767228177641,0.20903522205206737,8.317449315543234,0.33910933980246055,5.408704883227176,2.5992029111072603,3.1190434933287126,6.58464737480506,344.0,0.26339969372128635,300.0,1.0
A Clockwork Orange,1971,no_subtitle,tt0066921,False,,,,,,,,,,,,,,,,,,,,
Eraserhead,1977,success,tt0074486,True,712.0,112.0,6.357142857142857,22.0,0.0,0.0070073527662813375,0.19843358637110609,1.0,0.13392857142857142,0.20535714285714285,17.3697270471464,0.5483870967741935,5.235294117647059,0.0,17.3697270471464,0.0,43.0,0.38392857142857145,39.0,1.0
Harold and Maude,1971,success,tt0067185,True,6007.0,1005.0,5.9771144278606965,16.0,0.0,0.004926496941422314,0.14345165235481733,1.0,0.0736318407960199,0.1771144278606965,3.0543677458766036,0.41967012828344535,4.935907970419064,1.5271838729383018,6.719609040928527,8.246792913866829,415.0,0.4129353233830846,230.0,1.3333333333333333
John Carter,2012,success,tt0401729,True,6561.0,1279.0,5.129788897576232,15.0,3.0,-0.02275199607099529,0.18057509810366398,1.0,0.1641907740422205,0.1164972634870993,2.737476047084588,0.3807829181494662,5.117784711388455,0.27374760470845877,9.3074185600876,13.139885026006022,553.0,0.4323690383111806,262.0,2.0
The Lone Ranger,2013,no_subtitle,tt1210819,False,,,,,,,,,,,,,,,,,,,,
Cutthroat Island,1995,success,tt0112760,True,6099.0,1011.0,6.032640949554896,16.0,0.0,-0.0005813781778173471,0.10752706680772904,1.0,0.2166172106824926,0.1543026706231454,1.8543046357615893,0.34119205298013244,4.365783822476736,0.0,4.768211920529802,8.47682119205298,436.0,0.43125618199802174,266.0,1.1666666666666667
Heaven's Gate,1980,no_subtitle,tt0080855,False,,,,,,,,,,,,,,,,,,,,
Waterworld,1995,success,tt0114898,True,6314.0,1014.0,6.226824457593688,19.0,0.0,-0.01613342633182522,0.1460810965211118,1.0,0.23865877712031558,0.21005917159763313,5.766062602965404,0.30615046677649643,4.145764937623112,0.8237232289950577,1.6474464579901154,7.962657880285557,393.0,0.3875739644970414,199.0,1.3333333333333333
Ishtar,1987,no_subtitle,tt0093278,False,,,,,,,,,,,,,,,,,,,,
Battlefield Earth,2000,success,tt0185183,True,6435.0,958.0,6.717118997912317,17.0,0.0,-0.004256637007158928,0.1390777919673679,1.0,0.09812108559498957,0.13674321503131523,3.6619718309859155,0.35774647887323946,5.615183246073299,0.5633802816901409,1.6901408450704227,13.80281690140845,348.0,0.36325678496868474,167.0,1.2
The Adventures of Pluto Nash,2002,no_subtitle,tt0180052,False,,,,,,,,,,,,,,,,,,,,
Mars Needs Moms,2011,success,tt1305591,True,6069.0,935.0,6.490909090909091,17.0,0.0,-0.015757943779334153,0.1584484741873968,1.0,0.2983957219251337,0.2374331550802139,0.0,0.2854705715098095,4.188405797101449,0.5686664771111742,6.539664486778505,4.833665055444982,305.0,0.32620320855614976,170.0,1.25
Gigli,2003,success,tt0299930,True,11721.0,2040.0,5.745588235294117,17.0,0.0,0.002841613043818926,0.15543891293862097,1.0,0.043137254901960784,0.20980392156862746,17.572118904671257,0.24615609898960317,5.495077355836849,0.8786059452335627,4.978767022990189,2.050080538878313,679.0,0.33284313725490194,214.0,1.125
Catwoman,2004,success,tt0327554,True,5282.0,796.0,6.635678391959799,17.0,0.0,-0.0019902068897043775,0.13381896243033561,1.0,0.06532663316582915,0.22487437185929648,1.6761649346295675,0.3556821991283942,4.771454381210479,0.3352329869259135,8.045591686221924,9.051290646999664,268.0,0.33668341708542715,179.0,1.0
