title,year,status,imdb_id,subtitle_available,estimated_word_count,dialogue_line_count,avg_dialogue_length,longest_monologue_words,unique_character_count,sentiment_mean,sentiment_std,sentiment_peak,exclamation_ratio,question_ratio,profanity_score,vocabulary_richness,avg_sentence_complexity,humor_indicator,romance_indicator,violence_indicator,short_punchy_count,short_punchy_density,rare_proper_noun_count,sentiment_spike
Madagascar,2005,success,tt0351283,True,12.0,934.0,0.012847965738758,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7058823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar 2,2008,success,tt0479952,True,8286.0,850.0,9.748235294117649,29.0,0.0,-0.0026448720735739,0.1243983862092011,1.0,0.08,0.2729411764705882,0.4229223937407486,0.2867413829562275,5.083435582822086,2.114611968703743,8.035525481074222,5.497991118629732,184.0,0.2164705882352941,212.0,1.0
Despicable Me,2010,success,tt1323594,True,20525.0,1.0,20525.0,20525.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0014210197237537,16.920857378400658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Despicable Me 2,2013,success,tt1690953,True,5440.0,1085.0,5.013824884792626,17.0,0.0,-0.0032561959290069,0.1630542277090944,1.0,0.3105990783410138,0.1889400921658986,0.0,0.3499222395023328,4.162203519510329,2.7993779160186625,6.842923794712286,3.421461897356143,412.0,0.3797235023041475,236.0,1.2
Despicable Me 3,2017,success,tt3469046,True,6425.0,1210.0,5.309917355371901,18.0,2.0,-0.0036579490298498,0.1660145106621482,1.0,0.384297520661157,0.1636363636363636,0.2583311805734952,0.3068974425213123,3.808535862477771,2.8416429863084476,7.749935417204857,1.291655902867476,571.0,0.471900826446281,280.0,1.3
The Secret Life of Pets,2016,success,tt2709768,True,6408.0,1318.0,4.8619119878603945,15.0,0.0,0.0035515929863426,0.1623672871781607,1.0,0.2974203338391502,0.1441578148710167,0.0,0.286770530763137,4.158338741077222,0.5281225244256668,7.129654079746501,2.3765513599155,677.0,0.5136570561456753,212.0,1.5
Sing,2016,success,tt3470600,True,8107.0,1410.0,5.749645390070922,19.0,0.0,0.012762386279694,0.1418489940868214,1.0,0.2560283687943262,0.2177304964539007,0.0,0.2600248036378669,4.365643511039311,2.273666804464655,7.0276973956180235,1.860272840016536,565.0,0.400709219858156,211.0,1.1111111111111112
Sing 2,2021,success,tt6467266,True,9878.0,1744.0,5.6639908256880735,14.0,0.0,0.0027512624989689,0.1583584948556102,1.0,0.0888761467889908,0.1634174311926605,0.0,0.2312098593994098,5.185301837270341,0.5207429265752473,11.629925360180524,3.6452004860267313,640.0,0.3669724770642202,207.0,1.4285714285714286
Hop,2011,success,tt1411704,True,8991.0,1455.0,6.179381443298969,17.0,0.0,0.0072083386258643,0.1483888620585431,1.0,0.1869415807560137,0.1951890034364261,0.0,0.2804243008678881,4.540909090909091,0.9643201542912248,4.821600771456123,1.5429122468659595,518.0,0.3560137457044673,255.0,1.25
Ice Age,2002,success,tt0268380,True,4517.0,735.0,6.145578231292517,16.0,0.0,-0.0002310312514394,0.1233801206944961,1.0,0.1578231292517006,0.2,0.0,0.3564356435643564,4.233364573570759,1.1001100110011,12.834616795012836,2.933626696002934,304.0,0.4136054421768707,199.0,1.0
Ice Age: The Meltdown,2006,success,tt0438097,True,4926.0,708.0,6.9576271186440675,16.0,1.0,-0.0060220793801302,0.1159111720598711,1.0,0.0494350282485875,0.2090395480225988,1.725327812284334,0.3509316770186335,4.731988472622478,1.725327812284334,3.450655624568668,5.521048999309869,215.0,0.3036723163841808,178.0,1.0
Ice Age: Dawn of the Dinosaurs,2009,success,tt1080016,True,4843.0,556.0,8.71043165467626,23.0,0.0,-0.0159738322640353,0.1341648485259876,1.0,0.3471223021582734,0.2428057553956834,0.3395585738539898,0.3429541595925297,4.386775362318841,4.753820033955857,12.563667232597622,4.074702886247877,147.0,0.2643884892086331,202.0,1.1428571428571428
Ice Age: Continental Drift,2012,success,tt1667889,True,239.0,41.0,5.829268292682927,14.0,0.0,0.0151268785415126,0.0898818223017294,0.5,0.0,0.1219512195121951,7.042253521126761,0.852112676056338,5.085106382978723,0.0,7.042253521126761,7.042253521126761,21.0,0.5121951219512195,41.0,0.5
Ice Age: Collision Course,2016,success,tt3416828,True,7757.0,1517.0,5.113381674357284,17.0,0.0,0.0026059208627357,0.1188446648525186,1.0,0.2214897824653922,0.1687541199736321,0.0,0.3251961639058413,4.5737028301886795,1.7436791630340018,17.218831734960766,2.1795989537925022,631.0,0.4159525379037574,309.0,1.0
Rio,2011,success,tt1436562,True,8115.0,1529.0,5.307390451275343,15.0,0.0,0.0079852038812143,0.1605845030299832,1.0,0.2295618051013734,0.1523871811641595,0.0,0.2353176188573711,5.012353304508956,1.3983220135836996,10.387534958050338,2.1973631642029563,613.0,0.4009156311314584,261.0,2.0
Rio 2,2014,success,tt2357291,True,8197.0,1509.0,5.432074221338635,17.0,1.0,0.0011135089415407,0.1704543675705727,1.0,0.24519549370444,0.1537442014579191,0.0,0.2825339000202388,4.479234972677595,0.8095527221210281,15.58388990082979,4.654928152195912,635.0,0.4208084824387011,276.0,2.0
Rango,2011,success,tt1192628,True,8927.0,1307.0,6.830145371078807,18.0,0.0,-0.0089179142264339,0.1041006827450755,1.0,0.1989288446824789,0.2035195103289977,1.7139592458579318,0.3313654541992001,5.534407935523869,1.7139592458579318,3.237478575509426,6.474957151018853,445.0,0.3404743687834736,301.0,1.0833333333333333
The Book of Life,2014,success,tt2262227,True,8020.0,1622.0,4.944512946979038,14.0,1.0,0.0013600473372359,0.1802410576359633,1.0,0.2231812577065351,0.1547472256473489,0.0,0.2741312741312741,4.8459214501510575,0.9084714967067908,23.393141040199865,7.949125596184419,697.0,0.4297163995067817,207.0,1.4
Curious George,2006,success,tt0381971,True,7924.0,1218.0,6.505747126436781,17.0,0.0,-0.0087917943213509,0.1619228031179975,1.0,0.1034482758620689,0.2200328407224959,0.0,0.2696724797958316,4.647507331378299,1.2760527435133986,4.253509145044662,0.8507018290089324,404.0,0.3316912972085385,237.0,1.7
Charlotte's Web,2006,no_subtitle,tt0413895,False,,,,,,,,,,,,,,,,,,,,
Stuart Little,1999,success,tt0164912,True,6981.0,1108.0,6.300541516245487,17.0,0.0,0.0140358234148051,0.149763654545365,1.0,0.1146209386281588,0.2472924187725631,0.7201152184349496,0.2784445511281805,4.426759670259988,1.9203072491598656,6.00096015362458,0.9601536245799328,414.0,0.3736462093862815,183.0,1.3
Bumblebee,2018,success,tt4701182,True,6740.0,1257.0,5.361972951471758,18.0,2.0,-0.0060199590032525,0.1685672111758685,1.0,0.167859984089101,0.1654733492442323,4.797979797979798,0.305050505050505,4.538720538720539,1.0101010101010102,8.080808080808081,9.848484848484848,518.0,0.4120922832140016,231.0,1.125
Transformers,2007,success,tt0418279,True,13141.0,1833.0,7.169121658483361,18.0,0.0,-0.0170494466453357,0.1562672089727485,1.0,0.2176759410801964,0.2231314784506274,3.432494279176201,0.2679888126112382,4.674848808253291,1.9069412662090008,3.559623696923468,7.500635647088736,566.0,0.3087834151663939,425.0,1.2
Transformers: Revenge of the Fallen,2009,success,tt1055369,True,13347.0,2101.0,6.352689195621132,18.0,0.0,-0.0054118827917019,0.103389012081054,1.0,0.1323179438362684,0.1841980009519276,3.77453447408153,0.2925264217413185,5.368865647626709,0.377453447408153,4.781077000503271,7.674886763965778,772.0,0.3674440742503569,481.0,1.0
Transformers: Dark of the Moon,2011,success,tt1399103,True,13637.0,2065.0,6.6038740920096854,19.0,0.0,-0.0072769132938624,0.1281847447647943,1.0,0.2019370460048426,0.1714285714285714,4.640080260847755,0.2859292701279157,5.140218620429702,0.6270378730875344,4.263857536995234,10.158013544018058,771.0,0.373365617433414,486.0,1.25
Transformers: Age of Extinction,2014,success,tt2109248,True,13468.0,2205.0,6.1079365079365076,18.0,0.0,-0.011064160892092,0.1380681660352929,1.0,0.2467120181405895,0.1451247165532879,7.133917396745932,0.2655819774718398,4.717338003502627,0.8760951188986232,3.7546933667083855,14.392991239048811,899.0,0.4077097505668934,469.0,2.0
Transformers: The Last Knight,2017,success,tt3371366,True,13211.0,2276.0,5.804481546572935,17.0,0.0,-0.0117486679986679,0.1435774518518535,1.0,0.1823374340949033,0.1498242530755711,9.530975670930523,0.2938299473288187,4.740222461428059,0.6270378730875344,3.762227238525207,14.798093804865816,1037.0,0.4556239015817223,461.0,1.3333333333333333
Guardians of the Galaxy,2014,success,tt2015381,True,8073.0,1418.0,5.693229901269394,16.0,1.0,-0.0142765536453829,0.1541106702166275,1.0,0.1671368124118476,0.1332863187588152,4.638833664678596,0.340622929092114,5.5752762430939224,3.0925557764523965,1.9880715705765408,14.137397835210956,540.0,0.3808180535966149,238.0,1.3333333333333333
